period,start,end,CAGR,Sharpe,Sortino,MDD,Calmar,Final,N_trades,WinRate,ProfitFactor
B_near0.97 OOS_A 2019-2023,2019-01-02,2023-12-28,0.29500799408567224,1.2168010471737354,1.5578458884947515,-0.17936172616725088,1.6447655828790573,3.62867835573186,652.0,0.35736196319018404,1.381369535561078
B_near0.97 OOS_B 2024     ,2024-01-02,2024-12-30,0.6063279858247732,1.616794515984157,2.518113315306885,-0.15577726490297072,3.892275205900154,1.60164496632451,177.0,0.4011299435028249,1.5041167747114703
B_near0.99 FULL  2010-2024,2014-03-07,2024-12-30,0.17244773669954183,0.8352881201450172,1.0855663035600551,-0.34656889918269196,0.4975857242419116,5.589867021699712,1365.0,0.367032967032967,1.2530971335052574
B_near0.99 IS    2010-2018,2014-03-07,2018-12-28,0.026487282679793278,0.23636042799651358,0.3056427977158692,-0.34656889918269196,0.0764271772287064,1.1340057900778084,538.0,0.36988847583643125,1.0653636288167885
B_near0.99 OOS_A 2019-2023,2019-01-02,2023-12-28,0.2793819899168719,1.170998162924632,1.4568234473441464,-0.18084126225496433,1.5449017908478047,3.415569862701785,650.0,0.36,1.3827170439369905
B_near0.99 OOS_B 2024     ,2024-01-02,2024-12-30,0.44647379790221353,1.3814836723418802,2.106845630173912,-0.13340877891921243,3.346659803944252,1.4431884070905172,177.0,0.384180790960452,1.3653696122492924
C_near0.95_janskip FULL  2010-2024,2014-03-07,2024-12-30,0.10286873797987894,0.5596500562317328,0.7124084607262068,-0.3591456272460365,0.2864262576957609,2.883970376132803,1368.0,0.3508771929824561,1.1600964866752705
C_near0.95_janskip IS    2010-2018,2014-03-07,2018-12-28,-0.05199708914453249,-0.20704896883833923,-0.24485401809666257,-0.3401602002404611,-0.1528605907092466,0.7734729885733769,538.0,0.34944237918215615,0.9302745639674516
C_near0.95_janskip OOS_A 2019-2023,2019-01-02,2023-12-28,0.22008540585617364,0.978116677597573,1.2068424408326455,-0.19645220739898328,1.120299989346481,2.695934974169267,651.0,0.3456221198156682,1.3027556459915475
C_near0.95_janskip OOS_B 2024     ,2024-01-02,2024-12-30,0.38582752294531564,1.202481770800423,2.0293892137870304,-0.27915293471913183,1.3821367249228953,1.3830447437120124,179.0,0.3743016759776536,1.3392523851367484
C_near0.97_janskip FULL  2010-2024,2014-03-07,2024-12-30,0.17621473477492766,0.843462488034698,1.0924427380765098,-0.36439490852392276,0.48358176981322737,5.787236551402972,1362.0,0.3641703377386197,1.25148228136649
C_near0.97_janskip IS    2010-2018,2014-03-07,2018-12-28,-0.0022642152141807426,0.07837957693265969,0.09620595497840854,-0.36439490852392276,-0.006213630216054721,0.9891550957585128,534.0,0.3595505617977528,1.0146314906992275
C_near0.97_janskip OOS_A 2019-2023,2019-01-02,2023-12-28,0.2975402484830485,1.225287955622518,1.5647428584712946,-0.1777088803589688,1.6743127742520376,3.664192013715324,651.0,0.3579109062980031,1.382705951215374
C_near0.97_janskip OOS_B 2024     ,2024-01-02,2024-12-30,0.6013575046331066,1.606683805889469,2.503365002653636,-0.15556939650724422,3.86552572764595,1.5967194585831843,177.0,0.4011299435028249,1.5041167747114705
C_near0.99_janskip FULL  2010-2024,2014-03-07,2024-12-30,0.1804252624197118,0.8738050401154335,1.1148201111851619,-0.3091161696865875,0.5836810885779439,6.015314000223664,1349.0,0.36767976278724984,1.266612614565113
C_near0.99_janskip IS    2010-2018,2014-03-07,2018-12-28,0.040154988697979954,0.3138052499190628,0.3870280914526936,-0.3091161696865875,0.12990258238089922,1.2085052898841757,522.0,0.3716475095785441,1.0839282515250495
C_near0.99_janskip OOS_A 2019-2023,2019-01-02,2023-12-28,0.2809993901518806,1.176056470448052,1.463927799177293,-0.17889402454049952,1.5707589500188455,3.437151991962337,650.0,0.36,1.3876650683279337
C_near0.99_janskip OOS_B 2024     ,2024-01-02,2024-12-30,0.4514690242582,1.3905277058119023,2.1202207007480585,-0.1339207534212119,3.3711655044100968,1.4481415335894579,177.0,0.384180790960452,1.3653696122492929
D_break_janskip FULL  2010-2024,2014-03-07,2024-12-30,0.1899003956293066,0.9202777067311481,1.1982365815983043,-0.25234490156617373,0.7525430252432028,6.558688699039872,1304.0,0.3726993865030675,1.295924415009916
D_break_janskip IS    2010-2018,2014-03-07,2018-12-28,0.09708031602223399,0.626222159456645,0.7984532670236385,-0.25234490156617373,0.3847128094116699,1.5615757782784259,497.0,0.3822937625754527,1.1900854830974779
D_break_janskip OOS_A 2019-2023,2019-01-02,2023-12-28,0.27488771709771664,1.1495871718807675,1.4669672755196932,-0.22985760191303495,1.1959043982444337,3.356167758213418,637.0,0.3579277864992151,1.3826736343669779
D_break_janskip OOS_B 2024     ,2024-01-02,2024-12-30,0.2531817912740557,0.9427845106714428,1.4263391962115408,-0.17018274184057025,1.4877054426073368,1.2514407516645891,170.0,0.4,1.2790800417914958
KOSPI_BH FULL  2010-2024,2010-01-04,2024-12-30,0.023416776545512663,0.22510746275266869,0.29864947625022453,-0.4389786736150936,0.05334376805294423,1.4146768545049344,,,
KOSPI_BH IS    2010-2018,2010-01-04,2018-12-28,0.02082652375813332,0.2154201988916058,0.2858331372520023,-0.25852864116000307,0.0805578974332821,1.2033440635796573,,,
KOSPI_BH OOS_A 2019-2023,2019-01-02,2023-12-28,0.057432302929773416,0.39414722776689826,0.5410985380367326,-0.3570889844525307,0.16083470907909828,1.3210348258706468,,,
KOSPI_BH OOS_B 2024     ,2024-01-02,2024-12-30,-0.10184513886368352,-0.4632378356076498,-0.5719558764120236,-0.18357168796582912,-0.5547976378723577,0.8987493492046249,,,
