,equity
2016-04-05,9268109.830848144
2016-04-06,9268109.830848144
2016-04-07,9268109.830848144
2016-04-08,9268109.830848144
2016-04-11,9271226.785799043
2016-04-12,9205227.01173295
2016-04-14,9209316.50878895
2016-04-15,9220292.05665455
2016-04-18,9142786.183439223
2016-04-19,9142786.183439223
2016-04-20,9142786.183439223
2016-04-21,9142786.183439223
2016-04-22,9142786.183439223
2016-04-25,9142786.183439223
2016-04-26,9142786.183439223
2016-04-27,9142786.183439223
2016-04-28,9142786.183439223
2016-04-29,9047885.556577424
2016-05-02,8802969.881729666
2016-05-03,8981988.27376645
2016-05-04,8974055.72845225
2016-05-09,9047354.002556501
2016-05-10,8993887.09173775
2016-05-11,9015662.70632575
2016-05-12,9013679.5699972
2016-05-13,9077062.162458701
2016-05-16,9027509.94263615
2016-05-17,8992120.082196876
2016-05-18,8969693.933536626
2016-05-19,8859571.539763026
2016-05-20,8872732.625503026
2016-05-23,8889183.982678026
2016-05-24,8885893.711243026
2016-05-25,8948408.868508026
2016-05-26,8961569.954248026
2016-05-27,9001053.211468026
2016-05-30,8874784.849134026
2016-05-31,9004601.013024027
2016-06-01,8943576.848213876
2016-06-02,8869490.424002076
2016-06-03,8871218.315031426
2016-06-07,8901703.178402677
2016-06-08,8938729.698690426
2016-06-09,8891531.636037275
2016-06-10,8835440.484486125
2016-06-13,8721648.939536527
2016-06-14,8640544.546305336
2016-06-15,8589743.752400886
2016-06-16,8585201.851964237
2016-06-17,8638439.440834485
2016-06-20,8727947.785541836
2016-06-21,8707407.518319886
2016-06-22,8805824.522200486
2016-06-23,8867273.130721485
2016-06-24,8863790.428260136
2016-06-27,8765852.009315535
2016-06-28,8842019.798931886
2016-06-29,8818766.553353986
2016-06-30,8828287.402424537
2016-07-01,8821072.542690987
2016-07-04,8845344.775361786
2016-07-05,8945212.649726337
2016-07-06,8940245.787176637
2016-07-07,9207357.998685535
2016-07-08,9177645.697362438
2016-07-11,9302524.459996037
2016-07-12,9142704.089665186
2016-07-13,9201143.298558585
2016-07-14,9126634.603387037
2016-07-15,9010531.892017337
2016-07-18,9029143.360678198
2016-07-19,8882347.815373898
2016-07-20,9039177.842924297
2016-07-21,8945653.213434035
2016-07-22,8963930.373782536
2016-07-25,8952873.067657037
2016-07-26,8950569.877652537
2016-07-27,8930437.058309035
2016-07-28,8991013.946583236
2016-07-29,9072597.705758786
2016-08-01,9035348.841958735
2016-08-02,9025335.112133486
2016-08-03,9057859.214084987
2016-08-04,8995311.154105635
2016-08-05,9259685.460959835
2016-08-08,9140049.323306885
2016-08-09,9102306.42026561
2016-08-10,9042753.374799412
2016-08-11,9241637.321369812
2016-08-12,9288289.38211031
2016-08-16,9209271.020968912
2016-08-17,9235840.461332511
2016-08-18,9575231.55018656
2016-08-19,9818065.58413771
2016-08-22,9781663.15132831
2016-08-23,9735680.112446262
2016-08-24,9802398.84073246
2016-08-25,9734464.70611921
2016-08-26,9679485.722278062
2016-08-29,9754904.72587996
2016-08-30,9979545.51547471
2016-08-31,9974535.209779726
2016-09-01,9948090.559543677
2016-09-02,9850381.501827877
2016-09-05,9851882.065012626
2016-09-06,9783996.73770418
2016-09-07,9830911.023107529
2016-09-08,9713419.41837148
2016-09-09,9741406.57730593
2016-09-12,9431754.147298329
2016-09-13,9504934.071336115
2016-09-19,9724717.484720465
2016-09-20,9589764.162543263
2016-09-21,9793214.158371286
2016-09-22,9782566.930296736
2016-09-23,9907143.721503686
2016-09-26,10431672.811359687
2016-09-27,10472775.280946488
2016-09-28,10541044.425014937
2016-09-29,10626091.633918738
2016-09-30,10342012.948958386
2016-10-04,10495046.464556087
2016-10-05,10449190.711319737
2016-10-06,10174646.474575538
2016-10-07,9976017.213068888
2016-10-10,9948544.811681736
2016-10-11,9682783.804975478
2016-10-12,9630953.318235228
2016-10-13,9488432.718398327
2016-10-14,9519862.787018176
2016-10-17,9588267.953651426
2016-10-18,9839339.593388727
2016-10-19,9731479.998646677
2016-10-20,9695572.169719376
2016-10-21,9895802.337196076
2016-10-24,9891884.920084527
2016-10-25,9993781.635270625
2016-10-26,9716262.195507627
2016-10-27,9807916.559771426
2016-10-28,9630842.725786496
2016-10-31,9511423.819631096
2016-11-01,9538543.632671095
2016-11-02,9449207.777951095
2016-11-03,9455788.320821095
2016-11-04,9457981.835111095
2016-11-07,9471142.920851097
2016-11-08,9490834.872594746
2016-11-09,9374712.220186045
2016-11-10,9475546.077993445
2016-11-11,9332761.619508546
2016-11-14,9335381.872033145
2016-11-15,9347068.317939097
2016-11-16,9324598.755193897
2016-11-17,9301722.395253096
2016-11-18,9338476.721285947
2016-11-21,9347520.979524396
2016-11-22,9365801.927027646
2016-11-23,9365801.927027646
2016-11-24,9365801.927027646
2016-11-25,9365801.927027646
2016-11-28,9365801.927027646
2016-11-29,9365801.927027646
2016-11-30,9365801.927027646
2016-12-01,9365801.927027646
2016-12-02,9365801.927027646
2016-12-05,9365801.927027646
2016-12-06,9365801.927027646
2016-12-07,9365801.927027646
2016-12-08,9365801.927027646
2016-12-09,9275500.797627646
2016-12-12,9387370.026417647
2016-12-13,9132124.727217648
2016-12-14,9233824.026117647
2016-12-15,9223205.422850147
2016-12-16,9345344.286725149
2016-12-19,9193732.567208147
2016-12-20,9179823.692505646
2016-12-21,9147618.914520647
2016-12-22,9158686.191165647
2016-12-23,9178028.998995647
2016-12-26,9178028.998995647
2016-12-27,9178028.998995647
2016-12-28,9178028.998995647
2016-12-29,9178028.998995647
