,equity
2019-07-18,12955328.338631865
2019-07-19,12955328.338631865
2019-07-22,12955328.338631865
2019-07-23,12955328.338631865
2019-07-24,12955328.338631865
2019-07-25,12955328.338631865
2019-07-26,12955328.338631865
2019-07-29,12955328.338631865
2019-07-30,12955328.338631865
2019-07-31,12955328.338631865
2019-08-01,12955328.338631865
2019-08-02,12955328.338631865
2019-08-05,12955328.338631865
2019-08-06,12937397.143759364
2019-08-07,13047322.121246863
2019-08-08,13202682.756095864
2019-08-09,13202682.756095864
2019-08-12,13202682.756095864
2019-08-13,13202682.756095864
2019-08-14,13202682.756095864
2019-08-16,13202682.756095864
2019-08-19,13202682.756095864
2019-08-20,13202682.756095864
2019-08-21,13202682.756095864
2019-08-22,13202682.756095864
2019-08-23,13202682.756095864
2019-08-26,13202682.756095864
2019-08-27,13202682.756095864
2019-08-28,13202682.756095864
2019-08-29,13202682.756095864
2019-08-30,13202682.756095864
2019-09-02,13202682.756095864
2019-09-03,13202682.756095864
2019-09-04,13202682.756095864
2019-09-05,13202682.756095864
2019-09-06,13202682.756095864
2019-09-09,13202682.756095864
2019-09-10,13202682.756095864
2019-09-11,13202682.756095864
2019-09-16,13202682.756095864
2019-09-17,13202682.756095864
2019-09-18,13202682.756095864
2019-09-19,13202682.756095864
2019-09-20,13202682.756095864
2019-09-23,13202682.756095864
2019-09-24,13202682.756095864
2019-09-25,13202682.756095864
2019-09-26,13202682.756095864
2019-09-27,13202682.756095864
2019-09-30,13202682.756095864
2019-10-01,13202682.756095864
2019-10-02,13202682.756095864
2019-10-04,13202682.756095864
2019-10-07,13202682.756095864
2019-10-08,13202682.756095864
2019-10-10,13202682.756095864
2019-10-11,13202682.756095864
2019-10-14,13202682.756095864
2019-10-15,13202682.756095864
2019-10-16,13202682.756095864
2019-10-17,13202682.756095864
2019-10-18,13202682.756095864
2019-10-21,13202682.756095864
2019-10-22,13202682.756095864
2019-10-23,13202682.756095864
2019-10-24,13202682.756095864
2019-10-25,13202682.756095864
2019-10-28,13202682.756095864
2019-10-29,13202682.756095864
2019-10-30,13202682.756095864
2019-10-31,13202682.756095864
2019-11-01,13202682.756095864
2019-11-04,13202682.756095864
2019-11-05,13202682.756095864
2019-11-06,13202682.756095864
2019-11-07,13202682.756095864
2019-11-08,13202682.756095864
2019-11-11,13202682.756095864
2019-11-12,13202682.756095864
2019-11-13,13202682.756095864
2019-11-14,13171640.562996663
2019-11-15,13339545.108428614
2019-11-18,13450217.775173418
2019-11-19,13450217.775173418
2019-11-20,13530409.905809268
2019-11-21,13417015.187535768
2019-11-22,13359087.266882328
2019-11-25,13406168.68645973
2019-11-26,13611771.965531569
2019-11-27,13611771.965531569
2019-11-28,13611771.965531569
2019-11-29,13458573.769804768
2019-12-02,13519670.002498684
2019-12-03,13519670.002498684
2019-12-04,13519670.002498684
2019-12-05,13519670.002498684
2019-12-06,13519670.002498684
2019-12-09,13519670.002498684
2019-12-10,13519670.002498684
2019-12-11,13519670.002498684
2019-12-12,13519670.002498684
2019-12-13,13516872.089266984
2019-12-16,13450314.275028983
2019-12-17,13444495.479848785
2019-12-18,13397879.312978486
2019-12-19,13391548.033095984
2019-12-20,13488900.185493983
2019-12-23,13421509.444193484
2019-12-24,13364288.632782983
2019-12-26,13677755.783551283
2019-12-27,13733038.325970985
2019-12-30,13714939.421371583
2020-01-02,13398683.563894585
2020-01-03,13266807.490675885
2020-01-06,13256861.246247053
2020-01-07,13454803.975776654
2020-01-08,13401922.334452555
2020-01-09,13675684.882467955
2020-01-10,13743982.941042956
2020-01-13,13789071.624325853
2020-01-14,13974752.608974354
2020-01-15,14064328.724943357
2020-01-16,14491724.461519558
2020-01-17,14615839.759523904
2020-01-20,14701585.875055496
2020-01-21,14737076.936267696
2020-01-22,15236372.194456695
2020-01-23,15341278.012427896
2020-01-28,15352871.034797998
2020-01-29,15121045.644899575
2020-01-30,14980505.355573243
2020-01-31,14876102.051784841
2020-02-03,14789673.600551043
2020-02-04,14836291.761525244
2020-02-05,14619296.098129291
2020-02-06,14658448.939056544
2020-02-07,15161777.039950296
2020-02-10,15237827.536289994
2020-02-11,16040576.794019453
2020-02-12,16016386.736376952
2020-02-13,16004797.004510155
2020-02-14,16401092.251920804
2020-02-17,16453295.897918904
2020-02-18,16225983.009098154
2020-02-19,16416108.192928705
2020-02-20,16633708.528628455
2020-02-21,16281448.203459354
2020-02-24,15830265.166437048
2020-02-25,15916593.912475849
2020-02-26,16294851.493059048
2020-02-27,16179905.561361738
2020-02-28,16179905.561361738
2020-03-02,16355265.397047637
2020-03-03,16369166.295334537
2020-03-04,16612131.902718337
2020-03-05,16719397.144424018
2020-03-06,16719397.144424018
2020-03-09,16719397.144424018
2020-03-10,16719397.144424018
2020-03-11,16719397.144424018
2020-03-12,16612282.831603117
2020-03-13,16606494.915121809
2020-03-16,16606494.915121809
2020-03-17,16753855.931932509
2020-03-18,15887139.993881235
2020-03-19,16382556.163849184
2020-03-20,16382556.163849184
2020-03-23,16673332.530939184
2020-03-24,16271980.236038134
2020-03-25,16271980.236038134
2020-03-26,16271980.236038134
2020-03-27,16271980.236038134
2020-03-30,16271980.236038134
2020-03-31,16271980.236038134
2020-04-01,16271980.236038134
2020-04-02,16271980.236038134
2020-04-03,16271980.236038134
2020-04-06,16271980.236038134
2020-04-07,16271980.236038134
2020-04-08,16271980.236038134
2020-04-09,16271980.236038134
2020-04-10,16271980.236038134
2020-04-13,16271980.236038134
2020-04-14,16271980.236038134
2020-04-16,16271980.236038134
2020-04-17,16271980.236038134
2020-04-20,16271980.236038134
2020-04-21,16271980.236038134
2020-04-22,16271980.236038134
2020-04-23,16271980.236038134
2020-04-24,16271980.236038134
2020-04-27,16271980.236038134
2020-04-28,16271980.236038134
2020-04-29,16271980.236038134
2020-05-04,16271980.236038134
2020-05-06,16271980.236038134
2020-05-07,16271980.236038134
2020-05-08,16271980.236038134
2020-05-11,16271980.236038134
2020-05-12,16271980.236038134
2020-05-13,16271980.236038134
2020-05-14,16271980.236038134
2020-05-15,16271980.236038134
2020-05-18,16174974.293438135
2020-05-19,16258726.657238135
2020-05-20,16342479.021038134
2020-05-21,16342479.021038134
2020-05-22,16342479.021038134
2020-05-25,16342479.021038134
2020-05-26,16342479.021038134
2020-05-27,16342479.021038134
2020-05-28,16342479.021038134
2020-05-29,16342479.021038134
2020-06-01,16342479.021038134
2020-06-02,16342479.021038134
2020-06-03,16342479.021038134
2020-06-04,16342479.021038134
2020-06-05,16342479.021038134
2020-06-08,16342479.021038134
2020-06-09,16342479.021038134
2020-06-10,16342479.021038134
2020-06-11,16342479.021038134
2020-06-12,16342479.021038134
2020-06-15,16342479.021038134
2020-06-16,16603679.187899983
2020-06-17,16771834.990423331
2020-06-18,16553440.93070572
2020-06-19,16881903.742802024
2020-06-22,16881903.742802024
2020-06-23,16881903.742802024
2020-06-24,16886738.745799024
2020-06-25,16767299.699194234
2020-06-26,16767299.699194234
2020-06-29,16767299.699194234
2020-06-30,16792831.69701588
2020-07-01,16459489.063642334
2020-07-02,16683362.45362607
2020-07-03,16638518.04807092
2020-07-06,16618896.06569492
2020-07-07,16524759.60524606
2020-07-08,16646834.092554461
2020-07-09,17201908.6132588
2020-07-10,17072864.568248633
2020-07-13,17500704.54525338
2020-07-14,17097960.36583013
2020-07-15,17490569.512181632
2020-07-16,17210476.68133568
2020-07-17,17761352.602825906
2020-07-20,18429800.06861451
2020-07-21,19221128.776476182
2020-07-22,19014658.760260366
2020-07-23,18914076.226120714
2020-07-24,18281892.954100344
2020-07-27,18300456.106502295
2020-07-28,18740834.413846187
2020-07-29,18334090.65338198
2020-07-30,19041569.536463443
2020-07-31,18795245.612304345
2020-08-03,18427234.969872665
2020-08-04,18721295.501486167
2020-08-05,18655988.598761167
2020-08-06,18742173.769319165
2020-08-07,18769546.656907666
2020-08-10,18750767.849318534
2020-08-11,18521366.112282548
2020-08-12,18283723.102735654
2020-08-13,18571023.71551813
2020-08-14,17581588.720531423
2020-08-18,16493049.889897406
2020-08-19,17332326.2057687
2020-08-20,16528270.800489051
2020-08-21,16466365.220845241
2020-08-24,16573847.421055242
2020-08-25,16575343.90664374
2020-08-26,16449206.76844213
2020-08-27,15967799.118849482
2020-08-28,16122951.589638082
2020-08-31,16816381.26659354
2020-09-01,16515735.078520399
2020-09-02,16582439.199479789
2020-09-03,17391603.766493723
2020-09-04,19090221.737433493
2020-09-07,18808046.46515017
2020-09-08,18516187.83679812
2020-09-09,19317908.33954928
2020-09-10,19996747.11155793
2020-09-11,19570635.259840347
2020-09-14,19553920.95030369
2020-09-15,19942420.109124083
