,equity
2021-09-08,6521134.78923419
2021-09-09,6498262.834035491
2021-09-10,6499166.123220112
2021-09-13,6499166.123220112
2021-09-14,6499166.123220112
2021-09-15,6499166.123220112
2021-09-16,6491602.268182612
2021-09-17,6560073.664922612
2021-09-23,6504388.313515112
2021-09-24,6556833.246085112
2021-09-27,6543223.486967612
2021-09-28,6505784.186245112
2021-09-29,6600062.259769861
2021-09-30,6554269.127733836
2021-10-01,6640636.08080336
2021-10-05,6488202.3840092495
2021-10-06,6534883.000317598
2021-10-07,6581362.697176947
2021-10-08,6453325.195399348
2021-10-12,6564249.021906099
2021-10-13,6585992.730831699
2021-10-14,6639731.876714877
2021-10-15,6562447.002330677
2021-10-18,6528617.029667176
2021-10-19,6497794.165684877
2021-10-20,6422492.903864477
2021-10-21,6441684.478854701
2021-10-22,6478377.267669851
2021-10-25,6527177.286969851
2021-10-26,6544116.441840868
2021-10-27,6581805.005550869
2021-10-28,6580184.642200468
2021-10-29,6560107.754243168
2021-11-01,6502582.921752075
2021-11-02,6521274.654658725
2021-11-03,6567290.257257462
2021-11-04,6558915.020877462
2021-11-05,6573272.568957462
2021-11-08,6573272.568957462
2021-11-09,6573272.568957462
2021-11-10,6535276.439697462
2021-11-11,6580243.4826424625
2021-11-12,6645241.299262962
2021-11-15,6645241.299262962
2021-11-16,6645241.299262962
2021-11-17,6615102.327982962
2021-11-18,6642920.077387962
2021-11-19,6639829.216342961
2021-11-22,6595536.638147561
2021-11-23,6561947.952055962
2021-11-24,6568333.072743761
2021-11-25,6530588.674124561
2021-11-26,6529514.410471553
2021-11-29,6460794.659791753
2021-11-30,6378635.856053189
2021-12-01,6419217.010877438
2021-12-02,6345157.348484254
2021-12-03,6427633.485788254
2021-12-06,6438690.382738714
2021-12-07,6418461.401556213
2021-12-08,6637588.950133495
2021-12-09,6797767.340004893
2021-12-10,6675534.904520994
2021-12-13,6559435.281143694
2021-12-14,6411633.971374194
2021-12-15,6401264.581288195
2021-12-16,6455758.980778194
2021-12-17,6380467.599825894
2021-12-20,6425235.232380895
2021-12-21,6457958.477379894
2021-12-22,6457958.477379894
2021-12-23,6450755.825657395
2021-12-24,6470038.863594894
2021-12-27,6518088.791169294
2021-12-28,6598736.335196994
2021-12-29,6598736.335196994
2021-12-30,6598736.335196994
2022-01-03,6598736.335196994
2022-01-04,6598736.335196994
2022-01-05,6598736.335196994
2022-01-06,6553781.899361994
2022-01-07,6552809.088938595
2022-01-10,6435963.676115596
2022-01-11,6424041.342407845
2022-01-12,6592647.812412595
2022-01-13,6524075.564551344
2022-01-14,6556594.413900594
2022-01-17,6478646.272863096
2022-01-18,6483725.244161395
2022-01-19,6478445.209891396
2022-01-20,6650360.79825928
2022-01-21,6481964.7062159795
2022-01-24,6368235.589772178
2022-01-25,6291759.458284879
2022-01-26,6273234.112981231
2022-01-27,6046531.156825231
2022-01-28,6320849.74276212
2022-02-03,6299684.885773182
2022-02-04,6526013.684319283
2022-02-07,6433315.775314283
2022-02-08,6358455.120804383
2022-02-09,6376428.932249384
2022-02-10,6325901.755041383
2022-02-11,6246200.772252936
2022-02-14,6258846.247232936
2022-02-15,6184725.393478236
2022-02-16,6411127.774458246
2022-02-17,6431540.210174691
2022-02-18,6412496.517929691
2022-02-21,6412201.128044691
2022-02-22,6356896.650482091
