strategy,p_rsi_n,p_rsi_thresh,p_stop_pct,p_target_pct,p_max_hold,IS_CAGR,IS_Sharpe,IS_MDD,IS_PF,IS_N,IS_WR,OOS_CAGR,OOS_Sharpe,OOS_MDD,OOS_PF,OOS_N,OOS_WR,p_lookback,p_vol_mult,p_ret_thresh
RSIOversold,2.0,10.0,0.07,0.05,7,-0.06045672598736851,-0.41423746199970535,-0.4087061926159249,0.8507808026292718,353,0.5127478753541076,0.14208870778582483,0.6298592524372707,-0.31442250062970967,1.1805586261910137,533,0.6135084427767354,,,
RSIOversold,2.0,10.0,0.07,0.07,3,-0.0623305245840996,-0.39482519425140655,-0.4245762974604308,0.8806185819369035,599,0.48414023372287146,0.13423137944178487,0.5816260332143511,-0.2897616270515343,1.1404057896619086,765,0.5098039215686274,,,
RSIOversold,2.0,10.0,0.07,0.07,5,-0.00181824359588445,0.05589083574868417,-0.24238675807190702,1.0183991594360566,396,0.48737373737373735,0.18624716904931526,0.7557500964051976,-0.3443763243399438,1.2193416282438065,541,0.5489833641404805,,,
RSIOversold,2.0,10.0,0.07,0.07,7,-0.01506354927837339,-0.0480652425214335,-0.3390839184862372,1.002546748238936,318,0.4937106918238994,0.13031726299848057,0.6021431338211317,-0.30937001701906075,1.156561728845204,461,0.5401301518438177,,,
RSIOversold,2.0,10.0,0.07,0.1,3,-0.03249437110090747,-0.17137709294436196,-0.355543353858885,0.914126943612397,575,0.4608695652173913,0.023940983095265267,0.2419726872650967,-0.39883548318787443,1.051182891025277,718,0.4832869080779944,,,
RSIOversold,2.0,10.0,0.07,0.1,5,0.013949199363088471,0.17126705521399108,-0.20477519084100682,1.0607447544032071,371,0.4797843665768194,0.14091323002794254,0.5961344437759565,-0.37807465476882196,1.1669146656134766,487,0.48459958932238195,,,
RSIOversold,2.0,10.0,0.07,0.1,7,-0.007687215321650842,0.006383192772500005,-0.28378342875208096,1.0040903413191944,282,0.46099290780141844,0.06649606876514857,0.37164047066551176,-0.3263057378384807,1.1058836799025926,397,0.473551637279597,,,
RSIOversold,2.0,15.0,0.03,0.05,3,-0.09833135148674443,-0.6900118287276735,-0.4623453233569278,0.812399143313674,759,0.4137022397891963,0.14625976222494108,0.630986215027429,-0.24463344475603854,1.1122469573994405,1045,0.46124401913875596,,,
RSIOversold,2.0,15.0,0.03,0.05,5,-0.07262256600998684,-0.545414705162488,-0.39788849944870974,0.8361232675775936,578,0.3961937716262976,0.11888846291507438,0.563976593929502,-0.21431664011002982,1.1067677312081057,874,0.4645308924485126,,,
RSIOversold,2.0,15.0,0.03,0.05,7,-0.06775361052115658,-0.5115033565781438,-0.36484253365872,0.8377841598723247,500,0.396,0.049594443842580604,0.3208194255820458,-0.24575096621101333,1.0759235407050831,806,0.4466501240694789,,,
RSIOversold,2.0,15.0,0.03,0.07,3,-0.0908746834058739,-0.6453572257445976,-0.48217323670782575,0.8366178974422648,726,0.4049586776859504,0.25535695130362734,0.9505007320928529,-0.28372298802853935,1.1884732929969721,948,0.4356540084388186,,,
