,equity
2021-03-12,8748401.728218501
2021-03-15,8748401.728218501
2021-03-16,8748401.728218501
2021-03-17,8748401.728218501
2021-03-18,8748401.728218501
2021-03-19,8762372.879168501
2021-03-22,8746420.005068501
2021-03-23,8668002.645941
2021-03-24,8634738.9987851
2021-03-25,8634738.9987851
2021-03-26,8634738.9987851
2021-03-29,8634738.9987851
2021-03-30,8634738.9987851
2021-03-31,8634738.9987851
2021-04-01,8634738.9987851
2021-04-02,8634738.9987851
2021-04-05,8634738.9987851
2021-04-06,8634738.9987851
2021-04-07,8634738.9987851
2021-04-08,8634738.9987851
2021-04-09,8634738.9987851
2021-04-12,8634738.9987851
2021-04-13,8634738.9987851
2021-04-14,8634738.9987851
2021-04-15,8606887.2444351
2021-04-16,8580712.843235102
2021-04-19,8526746.13447895
2021-04-20,8519766.770828951
2021-04-21,8498828.67987895
2021-04-22,8491849.31622895
2021-04-23,8491849.31622895
2021-04-26,8491849.31622895
2021-04-27,8491849.31622895
2021-04-28,8491849.31622895
2021-04-29,8491849.31622895
2021-04-30,8491849.31622895
2021-05-03,8379365.1511864
2021-05-04,8427035.735390645
2021-05-06,8427035.735390645
2021-05-07,8395690.790640244
2021-05-10,8401222.434858844
2021-05-11,8401222.434858844
2021-05-12,8361483.393931591
2021-05-13,8361483.393931591
2021-05-14,8405976.56546409
2021-05-17,8387693.125330967
2021-05-18,8426217.018082347
2021-05-20,8485933.450523697
2021-05-21,8444620.175985146
2021-05-24,8451894.667012347
2021-05-25,8479230.840325497
2021-05-26,8461006.724783396
2021-05-27,8461006.724783396
2021-05-28,8461006.724783396
2021-05-31,8461006.724783396
2021-06-01,8461006.724783396
2021-06-02,8461006.724783396
2021-06-03,8461006.724783396
2021-06-04,8461006.724783396
2021-06-07,8461006.724783396
2021-06-08,8461006.724783396
2021-06-09,8461006.724783396
2021-06-10,8461006.724783396
2021-06-11,8461006.724783396
2021-06-14,8461006.724783396
2021-06-15,8461006.724783396
2021-06-16,8461006.724783396
2021-06-17,8461006.724783396
2021-06-18,8461006.724783396
2021-06-21,8461006.724783396
2021-06-22,8463761.186738396
2021-06-23,8425075.571078395
2021-06-24,8395190.932981046
2021-06-25,8395190.932981046
2021-06-28,8380697.566193546
2021-06-29,8398494.943501046
2021-06-30,8394885.380083546
2021-07-01,8429532.935346045
2021-07-02,8434518.195096046
2021-07-05,8459095.525663545
