,equity
2018-03-15,6754465.902246829
2018-03-16,6765517.226060629
2018-03-19,6601190.99683443
2018-03-20,6640177.7421243675
2018-03-21,6591171.641729919
2018-03-22,6528563.951613814
2018-03-23,6489612.821019528
2018-03-26,6446426.459982178
2018-03-27,6444090.172564549
2018-03-28,6451384.077845842
2018-03-29,6318104.688883457
2018-03-30,6327002.803530618
2018-04-02,6316170.2175011
2018-04-03,6585795.53623425
2018-04-04,6585417.224870249
2018-04-05,6482637.8833362
2018-04-06,6394955.304215438
2018-04-09,6439614.281451698
2018-04-10,6450277.972301652
2018-04-11,6656526.012657687
2018-04-12,6184563.293345522
2018-04-13,6209089.2858369695
2018-04-16,6339250.66490737
2018-04-17,6617137.904364819
2018-04-18,6482542.74634007
2018-04-19,6433182.6925033685
2018-04-20,6748707.81355297
2018-04-23,6435332.055389738
2018-04-24,6288704.380398976
2018-04-25,6123821.981757436
2018-04-26,6073594.755422416
2018-04-27,6021422.53650178
2018-04-30,6422733.494672125
2018-05-02,6211312.841443724
2018-05-03,5835467.374955835
2018-05-04,6274801.098827246
2018-05-08,6022488.671076296
2018-05-09,5822087.146701418
2018-05-10,5771892.016639879
2018-05-11,5868057.41890193
2018-05-14,5987581.402213949
2018-05-15,5954645.68897921
2018-05-16,5752581.123166694
2018-05-17,5741527.725484838
2018-05-18,5737839.845451538
2018-05-21,5638797.424996863
2018-05-23,5593421.459435406
2018-05-24,5548099.690215206
2018-05-25,5701607.031131206
2018-05-28,5848949.228772766
2018-05-29,5631046.286217406
2018-05-30,5632892.245522777
2018-05-31,5675461.981699727
2018-06-01,5631395.832580186
2018-06-04,5451490.593854437
2018-06-05,5510837.011098566
2018-06-07,5509695.3866158165
2018-06-08,5530486.992112567
2018-06-11,5572892.970886167
2018-06-12,5596750.709120313
2018-06-14,5560869.355259263
2018-06-15,5445537.311553457
2018-06-18,5488876.522277856
2018-06-19,5449460.017685909
2018-06-20,5449460.017685909
2018-06-21,5412535.544737792
2018-06-22,5349156.164069142
2018-06-25,5372353.942422813
2018-06-26,5294158.265504813
2018-06-27,5279458.299873624
2018-06-28,5251162.467478321
2018-06-29,5194541.637721876
2018-07-02,5159010.751107696
2018-07-03,5160631.997460474
2018-07-04,5160631.997460474
2018-07-05,5160631.997460474
2018-07-06,5147074.457555224
2018-07-09,5105330.183292582
2018-07-10,5058079.037499081
2018-07-11,4990828.795682024
2018-07-12,4927538.516532607
2018-07-13,4890188.414290718
2018-07-16,4842278.441299144
2018-07-17,4811252.508612094
2018-07-18,4844253.931105144
2018-07-19,4913464.292214394
2018-07-20,4889772.343778495
2018-07-23,4818919.901412045
2018-07-24,4793759.57462834
2018-07-25,4793759.57462834
2018-07-26,4807275.7723633405
2018-07-27,4835389.63992684
2018-07-30,4924453.68192964
2018-07-31,4792764.713160452
2018-08-01,4942337.95823419
2018-08-02,4801235.820277015
