code,n,corr_raw,corr_mcap
050890,2592,-0.04948968646333666,-0.046759137966160484
052020,2393,-0.07008026332153802,-0.08214466564804548
052400,2454,-0.21809322297956418,-0.21679158732527948
053610,2576,-0.10170201516330314,-0.10776043420010747
053800,2596,0.06620347173163217,0.06355800561522652
056080,2567,0.006777703128750354,0.003959240324450058
056190,2596,-0.3961518890825172,-0.39758095186490144
059090,2596,0.0005659488867038539,-0.006020334113139635
060250,2596,-0.12537820868870783,-0.12141466358501503
060280,2311,-0.09231430583307117,-0.09301506934101599
060370,2552,-0.03418719725143356,-0.033032126762466155
064260,2596,0.016416782835725532,0.007518703397651571
064290,2502,-0.09391072720191908,-0.10143737941596337
065350,2594,-0.11228639768164304,-0.12142233682178018
067160,2596,-0.318232063235243,-0.31471545538925155
068760,2595,0.01730814056256551,0.015447006065875466
069540,1953,0.0698295660611285,0.06497060103714766
074600,2596,-0.10166252100886473,-0.10843937997597415
077360,2568,-0.08070826117390469,-0.08493308894097973
078160,2596,0.03083665305191228,0.029971221206158836
078350,2496,-0.0016078603159518912,-0.008516941588112902
080580,2399,-0.028058507520196736,-0.020614373222031378
082270,2596,-0.0697419732050695,-0.06975949908073596
082740,2586,-0.031157254186483876,-0.03140805878754289
083450,2596,-0.09177118377482962,-0.0933988394793788
083650,2559,0.07636837665572287,0.07316949969131413
085660,2576,-0.04915989231812856,-0.04464536870851567
086450,2583,-0.34421284604718483,-0.3455164180841168
086900,2596,-0.10092696490434996,-0.09264512753529362
089010,2568,0.07874083396818715,0.07295669486252156
089030,2596,-0.2394828605434042,-0.2399225530738049
089890,2251,0.058456481757921355,0.05520509063437089
089970,1500,-0.232475453711665,-0.22875209239540173
090360,2382,0.03312887291843027,0.03162869822160193
090710,2472,0.02810652727600345,0.02803482241616197
092190,1124,-0.17829354352839302,-0.17471370805140343
093320,2596,-0.22565579975845568,-0.22516127588082763
094170,2273,0.06769252533603713,0.06074983589268709
096530,2596,-0.12813639043567632,-0.1382739706846262
099190,2596,-0.17928456785001204,-0.18215376667929975
099320,2596,0.059105801576461295,0.04976571099699344
101490,2567,-0.12972802137749215,-0.13838874686026467
101930,2546,-0.09162190764212418,-0.0930177728030017
102710,2596,-0.21378278312220406,-0.22452985975069858
102940,2595,-0.025662248807039448,-0.022858696730076195
104830,2596,-0.33767725637807594,-0.34176507855809407
107640,213,-0.20978387181427133,-0.196063346921454
110990,1511,-0.1393809847353431,-0.14330730087750945
112040,2581,-0.09876458424941013,-0.10219636109976045
114810,2555,-0.08550754263561594,-0.0854099633222279
115180,1766,-0.044828445066901146,-0.05520442430440346
121600,2596,-0.15754763528968535,-0.15129320420616996
122640,2220,-0.1281379590389024,-0.13696559167432784
122870,2596,-0.1257565401613719,-0.1280101409687852
124500,2463,0.08098859765661039,0.07993386618434326
126340,1232,-0.02976165530913207,-0.03520332071789873
127120,2569,0.005808670515629891,0.0025233922274581085
131290,2583,0.01371117279819605,0.011055627734147526
137400,2596,-0.09894239571211204,-0.1001452665533282
138080,2596,0.05080193768496837,0.04926736514349627
140410,2591,-0.030287207951237235,-0.03075471366288217
140860,2156,-0.2589543487105376,-0.2675541951472494
160190,62,0.24844852052802055,0.2573197675250642
161580,1800,0.04950343041303779,0.041372882234627206
166090,1820,-0.2137941400038461,-0.22730226114928787
168360,452,-0.1936202778247177,-0.1890002670731999
170920,2596,-0.038527102641369944,-0.04882104203500596
171090,1723,-0.06962388545720086,-0.0712120773791173
174900,1725,-0.027832773075160397,-0.03256941309635341
